序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业,date
1,002642,荣联科技,-9.989701271057129,8.74,1040854960,5782211935.62,5782211996.8,349.2358093261719,17.261865615844727,2983836,145227,96317281,1,6,互联网服,2025-09-04
2,601020,华钰矿业,-10.003650665283203,24.65,2046654272,20212129805.699997,20212129953.6,55.47983932495117,9.718806266784668,3756660,145436,229121771,1,12,有色金属,2025-09-04
3,301357,北方长龙,-19.9986515045166,118.73,1310890352,2825774000.0,11303096000.0,-5167.76220703125,44.12001419067383,6231900,145436,57085383,2,1,汽车零部,2025-09-04
4,002281,光迅科技,-9.99236011505127,58.91,4855745792,45928488364.939995,47531637181.6,63.823341369628906,10.161399841308594,8838149,145448,271240194,1,3,通信设备,2025-09-04
5,605133,嵘泰股份,-10.0,41.94,528540928,10082127337.74,11860908468.48,60.689849853515625,5.007480621337891,9912519,140937,26938059,1,3,汽车零部,2025-09-04
6,603297,永新光学,-10.001847267150879,97.45,429020944,10790550795.0,10810781415.0,49.909698486328125,3.7913637161254883,10271230,134245,32626260,1,0,光学光电,2025-09-04
7,605378,野马电池,-10.0,25.56,566355760,6680013984.0,6680013984.0,109.05764770507812,8.218263626098633,10574274,141123,50429469,1,1,电池,2025-09-04
8,600895,张江高科,-10.0,33.84,3901935200,52407654372.00001,52407654439.68001,70.98497009277344,7.174466133117676,27633574,145523,402172287,1,5,房地产开,2025-09-04
9,603163,圣晖集成,-10.006701469421387,40.29,289022208,1410260797.5,4029000000.0,32.25041198730469,19.48418426513672,33838563,133810,21511838,1,1,工程建设,2025-09-04
10,603177,德创环保,-9.961685180664062,11.75,322605840,2399256000.0,2422309500.0,69.47795867919922,13.304719924926758,35851600,132953,353807775,2,5,环保行业,2025-09-04
11,600715,文投控股,-9.907120704650879,2.91,573845376,7747503221.31,11814173696.640001,1304.648681640625,7.212368488311768,43225428,104042,78356115,1,0,游戏,2025-09-04
12,600410,华胜天成,-10.0,19.53,6701408256,21414541158.99,21414541256.64,76.60163116455078,29.871723175048828,45959441,145537,464260455,1,5,互联网服,2025-09-04
13,603032,德新科技,-10.0,23.04,1115513760,5337516441.599999,5380178227.2,120.35260772705078,19.448352813720703,51494745,133108,47717683,1,1,电池,2025-09-04
14,603690,至纯科技,-9.993178367614746,26.39,1425464240,10106426557.5,10124382471.84,128.74766540527344,13.724303245544434,53664566,133233,122947315,1,0,专用设备,2025-09-04
15,002384,东山精密,-9.99381160736084,58.18,4869433344,80656197844.14,106562926444.48,70.29161071777344,5.80061149597168,115494048,142321,841438895,1,16,电子元件,2025-09-04
16,603881,数据港,-10.011154174804688,32.27,3154543168,23182025757.730003,23182025531.840004,136.4313507080078,13.342070579528809,132249559,140041,444964228,1,10,互联网服,2025-09-04
17,603119,浙江荣泰,-10.002227783203125,80.8,1889480480,16473462226.4,29390365235.2,119.07682037353516,11.086278915405273,148639033,131217,487607880,1,5,非金属材,2025-09-04
18,603083,剑桥科技,-10.0,75.96,3356537280,20358787122.359997,20358787122.359997,84.19373321533203,15.904402732849121,166537514,131713,332610303,1,12,通信设备,2025-09-04
19,002256,兆新股份,-9.943181991577148,3.17,821531968,6184966543.99,6296017492.639999,1024.58349609375,13.167590141296387,174742718,100654,440448845,1,8,电网设备,2025-09-04
20,002265,建设工业,-10.002825736999512,31.85,662925600,12838640246.25,32902336740.0,336.660400390625,5.121574878692627,210767661,095348,379161507,2,1,汽车零部,2025-09-04
21,603626,科森科技,-10.005955696105957,15.11,1265855424,8384232115.9,8384232206.559999,-39.84356689453125,14.594911575317383,233324087,101826,375915774,1,13,消费电子,2025-09-04
22,600673,东阳光,-9.988518714904785,23.52,2418078336,70596642443.04,70784734917.12,57.77082061767578,3.2936851978302,270782914,100014,497908991,1,0,综合行业,2025-09-04
23,002131,利欧股份,-10.0,5.31,6189434624,31062034211.67,35958145512.96,37.59847640991211,19.53570556640625,280072211,140754,596099799,1,2,互联网服,2025-09-04
24,603986,兆易创新,-10.000584602355957,153.98,7284233984,102198992605.62,102247336936.31999,88.83724212646484,6.855048179626465,288834452,110030,997430853,1,8,半导体,2025-09-04
25,600967,内蒙一机,-9.977426528930664,19.94,1774516800,33933785659.980003,33933785759.68,58.49808120727539,5.165640830993652,289009761,103324,190287419,2,0,交运设备,2025-09-04
26,002463,沪电股份,-10.003030776977539,59.38,5330581504,114153912639.12001,114246132866.88,33.94563293457031,4.518133163452148,295381653,131900,822339363,1,7,电子元件,2025-09-04
27,002156,通富微电,-10.011312484741211,31.82,6730958336,48285329704.04,48289933739.840004,58.591182708740234,13.518739700317383,315977054,133124,616955359,1,7,半导体,2025-09-04
28,000988,华工科技,-10.0,64.8,7427563264,65123070573.6,65156575219.2,35.7551383972168,10.966439247131348,355957610,131848,841991175,1,7,电子元件,2025-09-04
29,002195,岩山科技,-9.977827072143555,8.12,11251058432,45482245101.439995,46044903546.88,343.0679931640625,24.247390747070312,462063005,140051,1647493406,1,3,互联网服,2025-09-04
30,600246,万通发展,-10.006670951843262,13.49,3800589696,25501664301.24,25501664355.2,-454.7196350097656,14.713211059570312,467883544,111141,1768621160,1,11,房地产开,2025-09-04
31,601929,吉视传媒,-9.94575023651123,4.98,2947741936,17379145076.640003,17379145116.480003,-37.41978454589844,16.666961669921875,564167641,102311,600641718,1,2,文化传媒,2025-09-04
32,601606,长城军工,-10.003067970275879,58.66,1187132800,42483237944.0,42483237944.0,-775.2169189453125,2.7814619541168213,1953026215,093448,9669326805,2,3,专用设备,2025-09-04
