序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,301616,N华业,51.99,149.11,31.12,157616,922495291.31,68.66,65.85,51.52,57.15,20.87,,78.81,44.75,3.25,2025-03-27
2,301535,N华远,24.06,389.02,19.14,481742,1306825201.83,167.89,32.0,23.74,30.0,4.92,,80.42,94.99,9.12,2025-03-27
3,688757,C胜科,24.37,-0.49,-0.12,128548,321846065.0,7.35,25.94,24.14,24.14,24.49,0.64,39.46,121.07,10.89,2025-03-27
4,301629,C矽电,167.91,5.94,9.41,57717,950491081.36,18.78,180.05,150.29,155.5,158.5,0.95,55.33,75.5,5.93,2025-03-27
5,001382,C新亚,22.99,-10.61,-2.73,267850,641733221.56,11.16,25.58,22.71,24.8,25.72,0.75,44.54,70.22,5.86,2025-03-27
6,603124,江南新材,45.76,-7.35,-3.63,95294,445833042.0,5.77,48.45,45.6,48.45,49.39,0.59,33.28,37.83,3.96,2025-03-27
7,301501,恒鑫生活,52.25,-0.53,-0.28,43837,230774682.35,3.46,53.49,51.67,52.26,52.53,0.59,18.13,24.24,2.74,2025-03-27
8,301479,弘景光电,121.0,0.0,0.0,33578,404169015.18,5.42,122.86,116.3,118.5,121.0,0.64,23.64,46.54,6.5,2025-03-27
9,603271,永杰新材,38.79,-0.72,-0.28,32583,126521654.0,2.66,39.32,38.28,38.88,39.07,0.66,8.45,23.89,2.93,2025-03-27
10,301275,汉朔科技,66.6,-3.42,-2.36,47893,321849510.88,3.32,68.63,66.34,68.3,68.96,0.63,15.08,39.61,7.52,2025-03-27
11,603409,汇通控股,38.26,0.47,0.18,24931,95103072.0,2.49,38.45,37.5,37.87,38.08,0.83,8.07,28.71,3.34,2025-03-27
12,301557,常友科技,81.03,-3.39,-2.84,15362,125213237.75,3.35,83.5,80.69,83.47,83.87,0.82,13.86,34.12,3.6,2025-03-27
13,301173,毓恬冠佳,55.06,-1.43,-0.8,15783,87248023.12,2.26,55.86,54.6,55.44,55.86,0.74,9.36,28.38,3.53,2025-03-27
