代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,date
bj430017,星昊医药,13.39,-0.06,-0.446,13.36,13.39,13.45,13.58,13.87,13.31,1664924.0,22595182.0,2025-01-03
bj430047,诺思兰德,11.45,0.29,2.599,11.43,11.45,11.16,11.25,11.8,11.05,2770300.0,31991866.0,2025-01-03
bj430090,同辉信息,5.33,0.03,0.566,5.33,5.34,5.3,5.29,5.54,5.15,9010964.0,48340108.0,2025-01-03
bj430139,华岭股份,23.51,0.06,0.256,23.5,23.51,23.45,23.99,24.4,23.14,8951929.0,212506477.0,2025-01-03
bj430198,微创光电,10.5,0.3,2.941,10.49,10.5,10.2,10.2,11.1,10.06,5396560.0,56941032.0,2025-01-03
bj430300,辰光医疗,11.63,0.18,1.572,11.63,11.64,11.45,11.5,11.79,11.34,2749191.0,31918056.0,2025-01-03
bj430418,苏轴股份,22.04,-0.55,-2.435,22.04,22.05,22.59,22.79,23.15,22.0,2014989.0,45503103.0,2025-01-03
bj430425,乐创技术,18.0,0.38,2.157,17.96,18.0,17.62,17.99,19.09,17.64,2851642.0,51882680.0,2025-01-03
bj430476,海能技术,9.19,-0.37,-3.87,9.19,9.24,9.56,9.66,9.78,9.13,1750325.0,16520457.0,2025-01-03
bj430478,峆一药业,17.0,0.4,2.41,17.0,17.01,16.6,16.71,17.54,16.56,2459261.0,42256695.0,2025-01-03
bj430489,佳先股份,17.0,0.34,2.041,17.0,17.01,16.66,16.66,17.6,16.61,7522092.0,129030415.0,2025-01-03
bj430510,丰光精密,16.56,-0.06,-0.361,16.56,16.57,16.62,16.88,17.17,16.37,2746930.0,46062120.0,2025-01-03
bj430556,雅达股份,7.8,-0.01,-0.128,7.79,7.8,7.81,7.95,7.96,7.6,5179583.0,40212389.0,2025-01-03
bj430564,天润科技,14.94,0.68,4.769,14.94,14.95,14.26,14.43,14.99,14.15,2244614.0,32813563.0,2025-01-03
bj430685,新芝生物,10.18,-0.08,-0.78,10.18,10.25,10.26,10.27,10.6,10.11,862358.0,8954265.0,2025-01-03
bj430718,合肥高科,12.86,0.56,4.553,12.85,12.86,12.3,12.41,13.25,12.2,2737442.0,35022531.0,2025-01-03
bj830779,武汉蓝电,32.56,-1.64,-4.795,32.56,32.58,34.2,33.76,34.62,32.3,1080496.0,36129265.0,2025-01-03
bj830799,艾融软件,55.76,3.03,5.746,55.76,55.77,52.73,52.99,59.58,52.3,13174867.0,740860585.0,2025-01-03
bj830809,安达科技,4.93,-0.06,-1.202,4.92,4.93,4.99,5.06,5.09,4.9,5834584.0,29211436.0,2025-01-03
bj830832,齐鲁华信,5.85,-0.01,-0.171,5.85,5.86,5.86,5.93,5.98,5.78,2671486.0,15707704.0,2025-01-03
bj830839,万通液压,15.98,0.07,0.44,15.98,15.99,15.91,16.09,16.4,15.88,698820.0,11253918.0,2025-01-03
bj830879,基康仪器,11.24,-0.31,-2.684,11.23,11.24,11.55,11.57,11.57,11.24,686813.0,7838305.0,2025-01-03
bj830896,旺成科技,15.8,1.45,10.105,15.8,15.81,14.35,14.61,16.88,14.61,5377614.0,83273617.0,2025-01-03
bj830946,森萱医药,9.05,0.38,4.383,9.04,9.05,8.67,8.68,9.38,8.55,7064567.0,63993562.0,2025-01-03
bj830964,润农节水,6.8,-0.13,-1.876,6.8,6.81,6.93,7.05,7.09,6.75,6576185.0,45489196.0,2025-01-03
bj830974,凯大催化,7.27,0.33,4.755,7.26,7.27,6.94,7.02,7.37,6.8,4786109.0,32999414.0,2025-01-03
bj831010,凯添燃气,9.02,-0.43,-4.55,9.02,9.03,9.45,9.11,9.48,8.88,18446169.0,168828623.0,2025-01-03
bj831039,国义招标,7.49,-0.14,-1.835,7.48,7.49,7.63,7.59,7.81,7.49,883647.0,6769736.0,2025-01-03
bj831087,秋乐种业,11.5,-0.43,-3.604,11.43,11.5,11.93,11.92,12.07,11.17,5054073.0,58613369.0,2025-01-03
bj831152,昆工科技,11.13,0.05,0.451,11.13,11.14,11.08,11.28,11.36,10.74,1447392.0,16141822.0,2025-01-03
bj831167,鑫汇科,19.4,0.26,1.358,19.17,19.4,19.14,19.25,19.77,18.85,972883.0,18851866.0,2025-01-03
bj831175,派诺科技,18.08,-1.42,-7.282,18.08,18.11,19.5,19.5,21.0,18.05,9190003.0,179246603.0,2025-01-03
bj831195,三祥科技,11.85,0.67,5.993,11.85,11.86,11.18,11.29,12.18,11.12,3122059.0,36249721.0,2025-01-03
bj831278,泰德股份,8.59,-0.1,-1.151,8.59,8.67,8.69,8.85,8.89,8.55,2276737.0,19841652.0,2025-01-03
bj831304,迪尔化工,11.59,-0.7,-5.696,11.59,11.6,12.29,12.4,12.48,11.5,4840180.0,57760785.0,2025-01-03
bj831305,海希通讯,13.28,-0.23,-1.702,13.28,13.34,13.51,13.63,13.78,13.18,1247705.0,16837308.0,2025-01-03
bj831370,新安洁,3.45,0.0,0.0,3.44,3.45,3.45,3.47,3.54,3.38,5732591.0,19918012.0,2025-01-03
