代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时间戳,date
bj430017,星昊医药,24.21,0.01,0.041,24.21,24.22,24.2,24.0,24.74,23.6,8102391.0,195192182.0,15:30:00,2025-07-04
bj430047,诺思兰德,23.06,1.15,5.249,23.05,23.06,21.91,21.79,23.88,21.65,14626352.0,337767694.0,15:30:00,2025-07-04
bj430090,同辉信息,10.95,0.85,8.416,10.94,10.95,10.1,10.25,11.62,10.0,54587013.0,594611757.0,15:30:00,2025-07-04
bj430139,华岭股份,25.6,-0.7,-2.662,25.59,25.6,26.3,26.01,26.49,25.31,8521018.0,219925462.0,15:30:00,2025-07-04
bj430198,微创光电,13.39,-0.26,-1.905,13.39,13.4,13.65,13.67,13.77,13.37,2348866.0,31792267.0,15:30:00,2025-07-04
bj430300,辰光医疗,19.13,0.0,0.0,19.12,19.13,19.13,19.56,19.86,19.11,5799045.0,113497133.0,15:30:00,2025-07-04
bj430418,苏轴股份,28.7,-0.57,-1.947,28.7,28.71,29.27,29.32,29.4,28.63,2311527.0,66775038.0,15:30:00,2025-07-04
bj430425,乐创技术,23.87,-1.38,-5.465,23.87,23.88,25.25,25.02,25.17,23.84,3413711.0,82983448.0,15:30:00,2025-07-04
bj430476,海能技术,18.49,-0.81,-4.197,18.48,18.49,19.3,19.43,19.43,18.4,2021871.0,38218205.0,15:30:00,2025-07-04
bj430478,峆一药业,20.66,-0.66,-3.096,20.66,20.68,21.32,21.32,21.48,20.63,2443804.0,51375604.0,15:30:00,2025-07-04
bj430510,丰光精密,22.08,-0.69,-3.03,22.07,22.08,22.77,22.8,22.8,22.05,1991165.0,44490675.0,15:30:00,2025-07-04
bj430556,雅达股份,11.06,-0.08,-0.718,11.05,11.06,11.14,11.14,11.19,10.97,2726618.0,30220454.0,15:30:00,2025-07-04
bj430564,天润科技,21.23,0.19,0.903,21.22,21.23,21.04,21.8,23.1,21.07,6084906.0,135121135.0,15:30:00,2025-07-04
bj430685,新芝生物,15.4,-0.49,-3.084,15.38,15.4,15.89,15.95,15.99,15.34,1727673.0,27080946.0,15:30:00,2025-07-04
bj430718,合肥高科,17.95,0.0,0.0,17.95,17.96,17.95,17.99,18.34,17.84,2123540.0,38494754.0,15:30:00,2025-07-04
bj830779,武汉蓝电,46.55,-1.7,-3.523,46.54,46.55,48.25,48.3,48.3,46.51,2396995.0,112820330.0,15:30:00,2025-07-04
bj830809,安达科技,5.9,-0.12,-1.993,5.9,5.91,6.02,6.02,6.03,5.9,6343583.0,37790394.0,15:30:00,2025-07-04
bj830832,齐鲁华信,8.18,-0.23,-2.735,8.18,8.2,8.41,8.4,8.4,8.17,5369789.0,44437497.0,15:30:00,2025-07-04
bj830839,万通液压,31.0,-0.98,-3.064,31.0,31.02,31.98,32.0,32.25,31.0,1677954.0,52565999.0,15:30:00,2025-07-04
bj830879,基康仪器,17.07,-0.37,-2.122,17.07,17.08,17.44,17.38,17.38,16.97,1540868.0,26377769.0,15:30:00,2025-07-04
bj830896,旺成科技,20.32,-0.71,-3.376,20.32,20.33,21.03,20.73,21.68,20.21,2811004.0,58908696.0,15:30:00,2025-07-04
bj830946,森萱医药,11.58,-0.28,-2.361,11.57,11.58,11.86,11.89,11.94,11.53,4913481.0,57631363.0,15:30:00,2025-07-04
bj830964,润农节水,8.99,0.19,2.159,8.98,8.99,8.8,8.8,9.1,8.76,16973957.0,151999357.0,15:30:00,2025-07-04
bj830974,凯大催化,8.42,-0.27,-3.107,8.42,8.43,8.69,8.74,8.74,8.39,2484468.0,21089280.0,15:30:00,2025-07-04
bj831010,凯添燃气,13.45,-0.42,-3.028,13.45,13.46,13.87,13.8,13.93,13.42,6977022.0,95144171.0,15:30:00,2025-07-04
