序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业,date
1,001400,江顺科技,4.5652174949646,76.96,80.96,379697312,1154400000.0,4617600000.0,31.89348030090332,0.03899649158120155,092500,3,0/0,7.47282600402832,通用设备,2025-09-08
2,002073,软控股份,10.059171676635742,9.3,9.3,1960908240,9217435353.300001,9481261910.400002,21.375774383544922,0.0,092500,22,0/0,4.142011642456055,专用设备,2025-09-08
3,002150,通润装备,0.11481055617332458,17.44,19.16,1917215232,6252544816.320001,6334810726.400001,28.998319625854492,-0.05730658769607544,092500,3,4/3,10.849597930908203,光伏设备,2025-09-08
4,002805,丰元股份,3.353867292404175,15.1,16.07,1040681792,4205993229.7999997,4228943931.2,24.21414566040039,0.0,092500,1,2/1,7.460643291473389,电池,2025-09-08
5,600103,青山纸业,4.014598369598389,2.85,3.01,1378241968,6305137783.95,6386356243.2,21.322736740112305,-0.3496503531932831,092501,1,2/1,6.934306621551514,造纸印刷,2025-09-08
6,002088,鲁阳节能,6.176961421966553,12.72,13.18,271639152,6433666328.16,6526919370.240001,4.1640543937683105,0.0,093100,3,0/0,8.09682846069336,装修建材,2025-09-08
7,002251,步步高,2.1978023052215576,6.51,7.01,4113910064,13905829494.689999,17503435020.96,28.64569664001465,0.0,093103,2,0/0,9.89011001586914,商业百货,2025-09-08
8,002617,露笑科技,7.040704250335693,9.73,10.0,6662347520,18403845104.260002,18710847445.920002,35.687931060791016,-0.10266941040754318,093130,6,2/1,7.040704250335693,光伏设备,2025-09-08
9,831641,格利尔,8.169149398803711,22.51,27.05,378763120,1005236835.95,1689938250.0,33.325923919677734,0.04444444552063942,093214,1,0/0,22.441133499145508,家电行业,2025-09-08
10,002973,侨银股份,8.9237060546875,15.99,16.15,459331808,3564042920.1,6534562432.32,12.990551948547363,0.0,093309,1,0/0,8.378746032714844,环保行业,2025-09-08
11,605287,德才股份,6.635071277618408,18.0,18.57,241306783,2520000000.0,2520000000.0,9.525938987731934,-0.2770082950592041,093409,1,0/0,9.419431686401367,装修装饰,2025-09-08
12,600021,上海电力,7.029369354248047,22.23,22.85,5160183040,62616211228.35,62616211295.04,8.247230529785156,1.1373976469039917,093453,1,6/3,7.462686538696289,电力行业,2025-09-08
13,603920,世运电路,8.19283390045166,41.07,41.76,3897569456,29592859827.69,29592859704.48,13.129327774047852,-0.024342745542526245,093617,3,2/1,5.953635215759277,电子元件,2025-09-08
14,002475,立讯精密,5.4025421142578125,49.75,51.92,14557101568,360133866925.75,360787802368.0,3.9940688610076904,0.02010454423725605,093721,1,0/0,6.6525421142578125,消费电子,2025-09-08
15,600748,上实发展,9.176470756530762,4.64,4.68,438808736,8558771818.879999,8558771837.44,5.158252716064453,0.0,094727,11,0/0,11.058823585510254,房地产开,2025-09-08
16,830896,旺成科技,13.721233367919922,26.19,29.93,374774016,1162883403.9,2651062845.6,30.78740692138672,-0.038167938590049744,094817,1,0/0,31.393835067749023,通用设备,2025-09-08
17,002858,力盛体育,4.3882975578308105,15.7,16.54,838139568,2307561476.6,2573541456.6,36.20631408691406,0.0,101133,1,2/1,11.569149017333984,文化传媒,2025-09-08
18,603506,南都物业,4.5218682289123535,14.1,14.84,243308333,2647666683.9,2647666683.9,9.094034194946289,0.4273504614830017,103225,2,0/0,9.710896492004395,房地产服,2025-09-08
19,688778,厦钨新能,15.494810104370117,79.01,82.09,2796567120,39875642467.83,39875642862.880005,7.20926570892334,0.0,104500,4,2/1,15.480193138122559,电池,2025-09-08
20,603429,集友股份,8.196721076965332,11.88,12.08,383113696,6230887324.200001,6230887407.360001,6.225456237792969,-0.08410429209470749,104743,1,0/0,10.56466293334961,造纸印刷,2025-09-08
21,605378,野马电池,2.91607403755188,28.94,30.93,1037891680,7563364816.0,7563364816.0,13.848058700561523,-0.03454231470823288,104953,1,2/1,13.05120849609375,电池,2025-09-08
22,601689,拓普集团,7.57217264175415,68.19,69.73,5924433920,118503008200.2,118503008472.95999,4.990828990936279,0.014667057432234287,112905,1,0/0,6.041962146759033,汽车零部,2025-09-08
23,301203,国泰环保,16.594959259033203,37.94,39.05,271294416,1663384450.0,3035200000.0,16.88926124572754,0.0,131233,2,0/0,18.561769485473633,环保行业,2025-09-08
24,600580,卧龙电驱,6.415584564208984,40.97,42.35,14251793664,63999954425.67,63999954138.88,22.745906829833984,0.0,135104,1,2/1,11.168830871582031,电机,2025-09-08
25,688598,金博股份,17.046855926513672,37.97,38.93,842432256,7751876070.5199995,7751876070.5199995,11.422829627990723,0.0,135548,1,0/0,17.97163963317871,光伏设备,2025-09-08
26,603882,金域医学,7.939079284667969,33.31,33.95,998228496,15327082759.87,15431133040.320002,6.541547775268555,0.0,140427,1,0/0,9.948153495788574,医疗服务,2025-09-08
