序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date
21,603273,天元智能,10.00575065612793,19.13,274218016,1072397192.0,4099815342.0,25.921220779418945,19107330,093445,094536,1,1/1,1,专用设备,2025-04-25
46,603280,南方路机,10.0,24.86,155192319,694629841.62,2694989741.62,23.055757522583008,35035198,104855,104855,0,1/1,1,专用设备,2025-04-25
35,002779,中坚科技,10.0,104.39,579135904,12363380064.75,13779480000.0,4.835986614227295,65238530,101115,101115,0,1/1,1,专用设备,2025-04-25
16,600771,广誉远,10.011641502380371,18.9,565055920,9251382564.9,9251382470.4,6.137745380401611,37080552,093130,102100,4,1/1,1,中药,2025-04-25
18,002354,天娱数科,9.963099479675293,5.96,1040368160,9645342052.72,9861331511.039999,10.874715805053711,83100160,093209,102445,1,1/1,1,互联网服,2025-04-25
52,002095,生 意 宝,10.027700424194336,19.86,404914896,4998929121.9,5019019200.0,8.56826400756836,155965485,130500,130500,0,5/3,1,互联网服,2025-04-25
2,003003,天元股份,9.987113952636719,17.07,1080629120,1981887291.24,3017946981.0,55.3806037902832,17943984,092500,145303,7,6/6,6,包装材料,2025-04-25
17,000691,亚太实业,9.885931968688965,2.89,112422946,934250300.0,934250300.0,12.088993072509766,4116802,093136,111024,15,4/2,1,化学制品,2025-04-25
36,000565,渝三峡Ａ,10.097086906433105,5.67,136749805,2458467887.4,2458467910.08,5.667344093322754,634093,101145,101145,0,1/1,1,化学制品,2025-04-25
42,001367,海森药业,9.996588706970215,32.24,220516926,843226593.0400001,3309532720.0,27.389095306396484,20889972,103109,103109,0,3/2,1,化学制药,2025-04-25
58,001255,博菲电气,9.996095657348633,28.17,149782392,563400000.0,2253600000.0,28.011945724487305,14685021,140506,141342,2,1/1,1,化学原料,2025-04-25
56,002648,卫星化学,9.994256973266602,19.15,5727177728,64468139587.74999,64509565078.399994,9.01482105255127,3506958,132833,145224,4,3/2,1,化学原料,2025-04-25
34,002386,天原股份,9.953703880310059,4.75,515796976,6181722993.25,6182823592.0,8.436973571777344,125162,100215,145327,8,1/1,1,化学原料,2025-04-25
12,603716,塞力医疗,10.04273509979248,10.3,273139568,1967471608.3000002,1967471608.3000002,13.941207885742188,26012104,093024,094642,5,1/1,1,医药商业,2025-04-25
