序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,是否新高,量比,涨停统计,入选理由,所属行业,date
123,301228,实朴检测,5.455153942108154,31.51,35.86,266796477,3773448540.0,3781200000.0,7.004326343536377,0.0,是,1.4466177225112915,0/0,60日新高,专业服务,2025-09-22
117,688400,凌云光,5.696826457977295,53.62,60.88,1946819600,24717572423.46,24717572584.32,7.88380241394043,0.0,是,1.1160670518875122,0/0,60日新高,专用设备,2025-09-22
185,301272,英华特,0.741525411605835,47.55,56.64,127807819,1489670175.0,2781784365.0,8.61383056640625,0.0,是,1.1791521310806274,0/0,60日新高,专用设备,2025-09-22
186,603036,如通股份,0.48651039600372314,22.72,24.87,420640112,4680456888.0,4680456888.0,9.191818237304688,0.0,是,1.8349542617797852,2/1,60日新高,专用设备,2025-09-22
95,301070,开勒股份,7.257448196411133,56.16,62.83,331923632,3333365568.0,5067307814.4,10.246549606323242,0.0,是,1.4207022190093994,0/0,60日新高,专用设备,2025-09-22
188,001332,锡装股份,0.40129944682121277,52.54,57.56,237407135,1418580000.0,5805144600.0,16.769588470458984,0.0,是,0.6697582602500916,0/0,60日新高,专用设备,2025-09-22
28,688215,瑞晟智能,11.099855422973633,76.77,82.92,330061792,4792234361.13,4792234361.13,7.082977294921875,0.0,是,1.650444746017456,0/0,60日新高,专用设备,2025-09-22
193,688125,安达智能,0.0,51.71,62.05,43316314,1163341381.3600001,4235774801.56,3.749657392501831,0.0,是,0.5671278238296509,0/0,60日新高,专用设备,2025-09-22
217,603956,威派格,-3.542234420776367,7.08,8.07,754719808,4034936504.88,4034936519.04,18.057308197021484,-0.14104372262954712,是,3.2799837589263916,2/1,60日新高,专用设备,2025-09-22
23,301512,智信精密,12.081985473632812,51.95,55.62,302700720,1289056130.0,2770670130.0,23.64575958251953,0.0,是,4.741917610168457,0/0,60日新高,专用设备,2025-09-22
42,603011,合锻智能,10.023585319519043,18.66,18.66,1803518304,9225773394.42,9225773301.12,20.298187255859375,0.0,是,1.7754119634628296,1/1,60日新高,专用设备,2025-09-22
113,002690,美亚光电,6.0781474113464355,21.99,22.8,625505424,9535448164.349998,19400348881.44,6.6077375411987305,0.0,是,2.684917688369751,0/0,60日新高,专用设备,2025-09-22
114,688255,凯尔达,6.033810138702393,40.77,46.14,273542000,4478946129.900001,4478946129.900001,6.177041530609131,0.0,是,1.207073450088501,0/0,60日新高,专用设备,2025-09-22
19,300400,劲拓股份,12.81945514678955,27.37,29.11,1128114384,6566703458.0,6640668146.0,17.642183303833008,0.0,是,2.740446090698242,0/0,60日新高,专用设备,2025-09-22
16,688698,伟创电气,14.09918212890625,86.51,90.98,945944976,18495385898.74,18495385898.74,5.355409145355225,0.0,是,0.9503419399261475,0/0,60日新高,专用设备,2025-09-22
190,301043,绿岛风,0.23783783614635468,46.36,55.5,314761664,2630825690.0,3152480000.0,11.732013702392578,0.0,是,2.331450939178467,2/1,60日新高,专用设备,2025-09-22
79,688312,燕麦科技,8.477971076965332,32.5,35.95,282945968,4732026520.0,4732026520.0,5.984364986419678,0.0,是,4.462761878967285,0/0,60日新高,专用设备,2025-09-22
229,002796,世嘉科技,-7.681432247161865,19.59,23.34,961418400,4421002301.97,4945043911.32,21.294992446899414,0.15337422490119934,否,1.2208324670791626,4/2,近期多次涨停,专用设备,2025-09-22
13,301013,利和兴,14.618565559387207,30.5,31.93,2507261616,5771869959.0,7129163208.0,45.22080612182617,0.0,是,1.7618463039398193,4/2,60日新高且近期多次涨停,专用设备,2025-09-22
