类别,周一0721,周二0722,周三0723,周四0724,周五0725
市场焦点股,"上纬新材 9连板;
柳钢股份 15天9板3连板;
华宏科技 7天6板3连板;
四方新材 11天6板;","上纬新材 10连板;
柳钢股份 16天10板4连板;
兰生股份 8天7板;
四方新材 12天7板2连板;
北化股份 4连板;
美邦股份 4连板;","南矿集团 4连板;
恒立钻具 3连板;
筑博设计 3连板;
深水规院 3连板;
铁建重工 3连板;","汇通集团 10天6板;
恒立钻具 4连板;
深水规院 4连板;
西藏天路 4连板;
中铁工业 4连板;
中国电建 4连板;
高争民爆 4连板;
中设股份 4连板;","汇通集团 11天7板2连板;
西藏天路 5连板;
西宁特钢 5连板;
西藏旅游 5连板;"
水泥,15只;,"7只;
西部建设 2天2板;
四川金顶 2天2板;
天山股份 2天2板;
四方新材 2天2板;
上峰水泥 2天2板;
海螺水泥 2天2板;",,,
超级水电,14只;,"22只;
筑博设计 2天2板;
中国能建 2天2板;
保利联合 2天2板;
高争民爆 2天2板;
易普力 2天2板;
中岩大地 2天2板;
西藏天路 2天2板;
中国电建 2天2板;
华新水泥 2天2板;
东方电气 2天2板;
苏博特 2天2板;
壶化股份 2天2板;
冠龙节能 2天2板;
江南化工 2天2板;
大宏立 2天2板;
国统股份 2天2板;
五新隧装 2天2板;
基康技术 2天2板;
上海港湾 2天2板;","17只;
中岩大地 3天3板;
高争民爆 3天3板;
易普力 3天3板;
保利联合 3天3板;
西宁特钢 3天3板;
中国电建 3天3板;
西藏天路 3天3板;
苏博特 3天3板;
深水规院 3天3板;
壶化股份 3天3板;
浙富控股 3天3板;
华新水泥 3天3板;
筑博设计 3天3板;
东方电气 3天3板;","9只;
西藏天路 4天4板;
保利联合 4天4板;
西宁特钢 4天4板;
苏博特 4天4板;
高争民爆 4天4板;
中国电建 4天4板;
中设股份 4天4板;
深水规院 4天4板;","3只;
西宁特钢 5天5板;
西藏天路 5天5板;"
工程机械,"13只;
南矿集团 2天2板;","5只;
南矿集团 3天3板;
法兰泰克 2天2板;
南方路机 2天2板;
铁拓机械 2天2板;","3只;
南矿集团 4天4板;
南方路机 3天3板;","2只;
南方路机 4天4板;
拓山重工 2天2板;",
机器人,"11只;
上纬新材 9天9板;",,,3只;,"9只;
横河精密 2天2板;"
新型城镇化,"10只;
汇通集团 7天5板;
华建集团 2天2板;
中化岩土 3天2板;","4只;
华建集团 3天3板;
中设股份 2天2板;",,,
民爆,8只;,"4只;
凯龙股份 2天2板;
金奥博 2天2板;
雅化集团 2天2板;
同德化工 2天2板;",,,
创新药,"8只;
亚太药业 4天3板;
昂利康 6天3板;",,"3只;
汉商集团 5天3板;",,
水利,7只;,"11只;
三和管桩 7天4板;
韩建河山 2天2板;
深水规院 2天2板;
浙富控股 2天2板;
国机重装 2天2板;","4只;
法兰泰克 3天3板;
中设股份 3天3板;
国机重装 3天3板;
韩建河山 3天3板;","3只;
汇通集团 10天6板;
韩建河山 4天4板;
国统股份 4天3板;","3只;
汇通集团 11天7板;
拓山重工 3天3板;"
钢铁,"4只;
柳钢股份 5天4板;","3只;
柳钢股份 6天5板;
西宁特钢 2天2板;",,,
智能电网,4只;,"5只;
国电南自 2天2板;
安靠智电 2天2板;",,,
军工,"4只;
北化股份 3天3板;
建设工业 3天3板;","2只;
北化股份 4天4板;",,,
西藏,3只;,"3只;
西藏城投 2天2板;
西藏旅游 2天2板;",,,
有色铝,2只;,,,,
有机硅,2只;,,,,
PCB,"2只;
平安电工 3天2板;",,,2只;,
稀土永磁,"2只;
华宏科技 7天6板;",,,5只;,
其他,"美邦股份 3天3板;
人民同泰 3天3板;
国机通用 2天2板;
东信和平 4天2板;
天普股份 4天2板;","上纬新材 10天10板;
兰生股份 8天7板;
美邦股份 4天4板;
沧州大化 4天3板;
东信和平 5天3板;
辰欣药业 2天2板;
亿晶光电 4天2板;
凯撒旅业 4天2板;","西藏旅游 3天3板;
海立股份 4天2板;","西藏旅游 4天4板;
彩虹集团 2天2板;
金春股份 2天2板;","西藏旅游 5天5板;
彩虹集团 3天3板;"
盾构机,,"16只;
中化岩土 4天3板;
恒立钻具 2天2板;
博云新材 2天2板;
永达股份 2天2板;
厦工股份 2天2板;
铁建重工 2天2板;
中铁工业 2天2板;
唯万密封 2天2板;
山河智能 2天2板;
西子洁能 2天2板;","7只;
恒立钻具 3天3板;
永达股份 3天3板;
博云新材 3天3板;
山河智能 3天3板;
铁建重工 3天3板;
中铁工业 3天3板;","5只;
中铁工业 4天4板;
山河智能 4天4板;
恒立钻具 4天4板;
中化岩土 6天4板;
中钨高新 3天2板;",
煤炭,,6只;,,,
固态电池,,2只;,,,
光通信,,1只;,,,
日化用品,,,3只;,2只;,
光伏,,,3只;,,
数据要素,,,2只;,,
算力工程,,,2只;,4只;,8只;
海南,,,,"16只;
凯撒旅业 6天3板;",
锂电池,,,,6只;,
疫苗,,,,3只;,
体外诊断,,,,3只;,
商业零售,,,,"2只;
南京新百 2天2板;",
芯片产业链,,,,2只;,"13只;
海立股份 6天3板;"
医药,,,,,"5只;
易明医药 2天2板;"
AI应用,,,,,"4只;
大恒科技 2天2板;"
